Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=job_74a1c32205093e57,QUANTUM.AI 개발팀 정규직 (back-end),퀸텀에이아이서울 금천구,,"개발팀직급/직책: 팀원, 팀장 [자격요건]경력사항: 경력(2년~)학력사항: 학력무관직무기술: 웹프로그래밍, Python, 앱 백엔드 개발자 (Django/MySQL/AWS)우대사항- AI 관련 서비스 개발 경험 0 명 근무조..."
https://kr.indeed.com/viewjob?jk=job_e91b5984e7f5d3fd,"데이터베이스개발자, 웹개발 신입/경력 정규직",여의도사람들서울 영등포구,"연봉 36,000,000원 - 60,000,000원","개발자 ㆍCss/html 등 웹디자인 관련 유경험자 ㆍ자바스크립트, Python, C++, 닷넷 등 ㆍNode, Selenium, electron... 관련 유경험자ㆍ자바스크립트, Python, C++, 닷넷 등 ㆍNode..."
https://kr.indeed.com/viewjob?jk=job_e03c3db92d5c1291,"백엔드, 웹개발 경력 정규직 - 스타트업/워라밸/수평문화/연봉최대협의",티에스커리어안양 동안구,"연봉 40,000,000원 - 50,000,000원","mindhub.aiJob Description◎ 채용제목백엔드 개발자 채용◎ 자격요건- Node.js 또는 python 개발자- React.js, Vue.js, Flask, Django 중 1가지 경험자- REST-API..."
https://kr.indeed.com/viewjob?jk=job_df21e3bb5d773616,Python Programmer,Mofac서울 서초구,,개발 – JAVA 프로그래밍(라이브러리 활용) – Spring 프레임 워크 개발 – Python API 프로그래밍 우대사항 – Python 개발 경험 – Open Source 라이브러리 개발경험 – Web 표준에 대한 경험...
https://kr.indeed.com/viewjob?jk=job_bf205a49ed87fa03,[LNG발전소] 데이터분석 전문가,에이스파트너스서치펌충청남도,,모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=job_2a9a2f04387dab43,[엑스퍼넷] 부설연구소 클라우드 서비스 개발 신입/경력직,엑스퍼넷안산 단원구,,"보유자 - REST API 이해 가능자(2) 자격요견 / 경력 - python, flutter framework 개발 경험자 - 네트워크 프로그래밍... 통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=job_e25431d3416ea9c3,Application Engineer - IP Validation,Siemens4.0경기도 성남,,"programming and scripting languages (one or more of: Python [preferred], Perl, Tcl, Shell-based) Being familiar with OOP..."
https://kr.indeed.com/viewjob?jk=job_d3d33eafc5f2c0ac,Data scientist 직무 경력직,LG전자3.8서울특별시,,"설계 / 검증 - 관련 직무 경력 5년 이상 ㆍ역량 요건 - 데이터마이닝 및 분석 기술/SQ,L, R, Python 등 활용 능력 보유 - AI / ML 이해 및 관련 라이브러리 활용, 알고리즘 개발 역량 보유 - Big..."
https://kr.indeed.com/viewjob?jk=job_51df90967b46e8f0,[외국계 스타트업 미소] Business Analyst,유한회사 미소서울,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL|인터넷·IT·통신·모바일·게임>데이터베이스...
https://kr.indeed.com/viewjob?jk=job_733b814969bff5a7,Jr. Back-end Engineer (Python),Soomgo서울 강남구,,"이런 분을 찾아요 2년 이상의 Python을 활용한 백엔드 개발 업무를 수행한 경험이 있으신 분 Django, Django Rest Framework, Flask 등의 Python web framework를 사용하여..."
https://kr.indeed.com/viewjob?jk=job_ad07d6a330fb619a,NHN Cloud 운영 및 기술지원,NHN4.4성남 판교역,,"Linux, Microsoft Solutions 등) - 2년 이상의 개발 경험 (Java, Python 등) - 기술 문서 작성 및 가이드 경험이 풍부한 자 - 대외 고객 기술 지원 경험 - Windows..."
https://kr.indeed.com/viewjob?jk=job_b2a5e4aeccfd3f28,백엔드/DB 개발자,(주)인터마인즈 관심기업성남 삼평동,,"대학교(4년) 우대조건 python 코딩 능숙하신 분, 스타트업계 관심... 웨어공학 전공 - 컴퓨터공학 전공 - 전기·전자공학 전공 - 직접 : python 코딩 능숙하신 분 - 직접 : 스타트업계 관심 많고 기업 문화 만드..."
https://kr.indeed.com/viewjob?jk=job_5459853135ad5938,코박(Cobak) Back-end 개발 경력 정규직,판도라티비성남 분당구,,기적으로 소통하며 개발 구현)- Python / Django 언어 / 프레... 게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신...
https://kr.indeed.com/viewjob?jk=job_4f6f11369cfd4cea,소프트웨어 개발 경력 채용,(주)매크로액트 관심기업성남 시흥동,"연봉 30,000,000원 - 40,000,000원","모두 스스로 도전과제를 찾고 이를 해결하는 과정을 통해 성장하며 발전하고 있습니다. 담당 업무 모집부문 Python, Java, Simulation 담당업무 - 3D 시뮬레이터 연구개발 - 로봇 프레임워크 연구개발 자격요건..."
https://kr.indeed.com/viewjob?jk=job_386d1b742ed936db,서비스 플랫폼 웹 개발자 모집,엔씨소프트2.7성남 판교역,,"기술 트랜드에 지속적인 관심을 가지며, 배움에 적극적인 분 우대사항 - Front-End 웹 개발 경험 - Python, Django Framework을 이용한 서비스 개발 경험 - Kafka, Redis 를 이용한 서비스..."
